lat,lon,name,geonameid,Freq
45.17155,5.72239,Grenoble,http://sws.geonames.org/3014728,1
45.74846,4.84671,Lyon,http://sws.geonames.org/2996944,1
43.29695,5.38107,Marseille,http://sws.geonames.org/2995469,1
48.85341,2.3488,Paris,http://sws.geonames.org/2988507,5
